name,type,port,proto,ttl,service,prio,value
www.testingmx,A,NA,NA,86400,NA,NA,34.90.154.249
testtt,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
testtt,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.testtt,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQD2cclyeK8AS
www.testtt,A,NA,NA,86400,NA,NA,34.90.154.249
webmail,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
webmail,A,NA,NA,86400,NA,NA,34.90.154.249
lilko1,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
default._domainkey.webmail,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDE8AXbFMlcL4lXErsQs0XitYdkCiOx+qtBG2OvGOIoidTTznJFOpQDugT4ze
www.webmail,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.staging17.initialtraining19,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCS6ipCwxPjFJt9DIalgyt655altUX7UV8sUYu
www.staging17.initialtraining19,A,NA,NA,86400,NA,NA,34.90.154.249
lilko,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
lilko1,A,NA,NA,86400,NA,NA,35.214.227.255
default._domainkey.lilko1,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC3x19cVwuaBnPfEP83nS2bTF2SxkPC2RQUR2jDjIL4w
www.lilko1,A,NA,NA,86400,NA,NA,35.214.227.255
lilko3,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
lilko3,A,NA,NA,86400,NA,NA,35.214.227.255
default._domainkey.lilko3,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC9q
www.lilko3,A,NA,NA,86400,NA,NA,35.214.227.255
localhost,A,NA,NA,86400,NA,NA,127.0.0.1
mail,A,NA,NA,86400,NA,NA,34.90.154.249
www.mail,A,NA,NA,86400,NA,NA,34.90.154.249
staging25,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.staging25,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDQRq65ZRTpS1Fkt1QKVrO2KRhZxzndztE5hz2HZQmeh0+YxM
www.staging25,A,NA,NA,86400,NA,NA,34.90.154.249
staging28,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
staging28,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.staging28,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDmwO9VGBjtucwvtLn0NPdKsD8qpTGPRzT5aO8
www.staging28,A,NA,NA,86400,NA,NA,34.90.154.249
staging29,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
staging29,A,NA,NA,86400,NA,NA,34.90.154.249
